video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link
816019880,hd,1080p,video/mp4,1920,1080,1080p,25,261718003,249.59MB,https://player.vimeo.com/progressive_redirect/playback/816019880/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=e998101cd6d0617ad730b3b5707f66ae26a1cff4ac410c80bae1a2636a27c82f
816019880,hd,720p,video/mp4,1280,720,720p,25,195502955,186.45MB,https://player.vimeo.com/progressive_redirect/playback/816019880/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=4769a5e81d68259c524e7ea0f21f4ecf128598e509d8246b726e85eab6816049
816019880,sd,360p,video/mp4,640,360,360p,25,117808217,112.35MB,https://player.vimeo.com/progressive_redirect/playback/816019880/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c649279be462bfd6148945bbe02717e2e23cd991a6ec24a544739acc58d2d835
816019880,hls,adaptive,video/mp4,,,540p,25,156772114,149.51MB,https://player.vimeo.com/external/816019880.m3u8?s=f1498beb0c8ba1fd8b1af1d7b0846abc0e4c7f6f&oauth2_token_id=1643955558
816031840,hd,720p,video/mp4,1280,720,720p,25,321619948,306.72MB,https://player.vimeo.com/progressive_redirect/playback/816031840/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c7646858445355268ec7629541bddd6c51633f289f6a39954e10e2cab9326c3a
816031840,hd,1080p,video/mp4,1920,1080,1080p,25,436109306,415.91MB,https://player.vimeo.com/progressive_redirect/playback/816031840/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=e04f7ddb5bc1ddb3d4f007562b38c6661b68ad82f9a81c6632b1e41adc42b88d
816031840,sd,540p,video/mp4,960,540,540p,25,256133439,244.27MB,https://player.vimeo.com/progressive_redirect/playback/816031840/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=e5ade675f3b4a0b531bf01b25cc60e159ab438fcb51710512614a7aa4271fd58
816031840,sd,240p,video/mp4,426,240,240p,25,154301497,147.15MB,https://player.vimeo.com/progressive_redirect/playback/816031840/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=10a1fa7e4c314aa2afd31f557331153755c15a0c46b8d4d2326b4e6cdc353ba6
816031840,sd,360p,video/mp4,640,360,360p,25,191217955,182.36MB,https://player.vimeo.com/progressive_redirect/playback/816031840/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=de23f75ee803455dc18a3de68c5b6e151844f3cbf44f15880eff38ab9affce83
816031840,hls,adaptive,video/mp4,,,720p,25,321619948,306.72MB,https://player.vimeo.com/external/816031840.m3u8?s=037d318399f5dc893e42e4e940346426931467df&oauth2_token_id=1643955558
816783092,sd,540p,video/mp4,960,540,540p,25,342473644,326.61MB,https://player.vimeo.com/progressive_redirect/playback/816783092/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=cb6553069c4f3eccc447c29f9a1a13ebd9d1f0bbdf8c7f9b8d961d15518a26e0
816783092,sd,360p,video/mp4,640,360,360p,25,256855570,244.96MB,https://player.vimeo.com/progressive_redirect/playback/816783092/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=adce496fff9455900615f99a47e4fe9b1420af12c4afa41b41b8acf7b2e51c22
816783092,hd,720p,video/mp4,1280,720,720p,25,427013758,407.23MB,https://player.vimeo.com/progressive_redirect/playback/816783092/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=18b3b56320b333578bc7ab82cc54247c8a5d91a428ae056cbfa911c48cbf7253
816783092,sd,240p,video/mp4,426,240,240p,25,208770448,199.1MB,https://player.vimeo.com/progressive_redirect/playback/816783092/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=057c283c9e6b93c5d7bca2257f7f3f8516a12ee640a867310e942fa5cebe3acb
