video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link,created_at
886101229,hls,adaptive,video/mp4,,,720p,30,46724643,44.56MB,https://player.vimeo.com/external/886101229.m3u8?s=7fbc3a0c0529a84b153943fdd27bf3cd58aad6dd&oauth2_token_id=1643955558,2023-11-19T13:20:25+00:00
886854054,sd,240p,video/mp4,426,240,240p,30.00663129973475,253798482,242.04MB,https://player.vimeo.com/progressive_redirect/playback/886854054/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=3077827c29f58275b78e102ded5d9b7ce13382745892e88d370e2f1764edb537,2023-11-21T16:13:39+00:00
886854054,hd,720p,video/mp4,1280,720,720p,30.00663129973475,1932145316,1.8GB,https://player.vimeo.com/progressive_redirect/playback/886854054/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=74c1f8f58d53e8648b6f7c31ac138a58961dfaadb2030cbf1c7d7d95dac21d8d,2023-11-21T16:14:25+00:00
886854054,sd,540p,video/mp4,960,540,540p,30.00663129973475,1237311329,1.15GB,https://player.vimeo.com/progressive_redirect/playback/886854054/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=85d213f37b289b539f365e923db1dab38fe509ab1526d43a1399966a8662f58b,2023-11-21T16:13:58+00:00
886854054,sd,360p,video/mp4,640,360,360p,30.00663129973475,445923676,425.27MB,https://player.vimeo.com/progressive_redirect/playback/886854054/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=f98704c60ebfe5095a3bcd034f99d64feb5bfce7cefa5f315b54e03ac2c6b2de,2023-11-21T16:13:46+00:00
886854054,hls,adaptive,video/mp4,,,240p,30.00663129973475,253798482,242.04MB,https://player.vimeo.com/external/886854054.m3u8?s=03cb566cfbe5b7aa205d68e23062ad8a162c65d9&oauth2_token_id=1643955558,2023-11-21T16:13:39+00:00
886822393,sd,540p,video/mp4,960,540,540p,30.00663129973475,244600700,233.27MB,https://player.vimeo.com/progressive_redirect/playback/886822393/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c22d36240c7fc3e895bdda75a6324f8b822719c9dceaaf3a5dc222c2aef79e7b,2023-11-21T12:43:35+00:00
886822393,sd,360p,video/mp4,640,360,360p,30.00663129973475,119556751,114.02MB,https://player.vimeo.com/progressive_redirect/playback/886822393/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=f8badb70f00d6a88480f3da3fb465a541cb8be8608f519347e8aff10e865f8b4,2023-11-21T12:43:34+00:00
886822393,sd,240p,video/mp4,426,240,240p,30.00663129973475,63839790,60.88MB,https://player.vimeo.com/progressive_redirect/playback/886822393/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=f5fef3de757210139581e9f4b8d4ce8cb5bc2c7787a05498ac3058687a3e1aaf,2023-11-21T12:43:32+00:00
886822393,hd,720p,video/mp4,1280,720,720p,30.00663129973475,323312032,308.33MB,https://player.vimeo.com/progressive_redirect/playback/886822393/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a71781277ebd6c90b76552f0c9dd0cf12bec67ab694e7dccb19d6b5d9fe2b61f,2023-11-21T12:43:34+00:00
886822393,hls,adaptive,video/mp4,,,540p,30.00663129973475,244600700,233.27MB,https://player.vimeo.com/external/886822393.m3u8?s=df8e3522323d7fa07c2bc6bfbe101601623914f2&oauth2_token_id=1643955558,2023-11-21T12:43:35+00:00
887645392,hd,720p,video/mp4,1280,720,720p,30,31512417,30.05MB,https://player.vimeo.com/progressive_redirect/playback/887645392/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=648e09eef8e9b9acb422ea2044ab1feffdd014b226e5f2f4f4c2cabd145b08c2,2023-11-23T13:17:52+00:00
